Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
7.10838E-3,32.668973404,0.433027968,0.139130435,0.057971014,0
7.19947E-3,33.378577238,0.436157023,0.136231884,0.057971014,0
7.22173E-3,34.111228712,0.436916335,0.133333333,0.072463768,0
7.3047E-3,34.84169871,0.439728613,0.130434783,0.086956522,0
7.31008E-3,35.572706865,0.43991006,0.127536232,0.086956522,0
7.316E-3,36.304307187,0.440109581,0.124637681,0.086956522,0
7.36944E-3,36.539153453,0.441903615,0.12173913,0.086956522,0
7.48634E-3,37.052941672,0.445788727,0.12173913,0.130434783,0
7.65925E-3,37.689933332,0.451436639,0.11884058,0.130434783,0
7.69522E-3,37.822463788,0.452597289,0.11884058,0.144927536,0
7.90563E-3,38.613026838,0.459288755,0.115942029,0.15942029,0
8.31365E-3,39.307016375,0.471809099,0.113043478,0.15942029,0
8.41425E-3,40.294397488,0.474807634,0.110144928,0.188405797,0
8.61697E-3,41.015543507,0.480747416,0.107246377,0.188405797,0
8.69272E-3,42.029431189,0.482932692,0.104347826,0.231884058,0
8.85576E-3,42.915006709,0.487574069,0.101449275,0.231884058,0
8.87579E-3,43.019950521,0.488138699,0.098550725,0.231884058,0
8.9551E-3,43.435387006,0.490361715,0.098550725,0.246376812,0
9.02747E-3,43.814433483,0.492373227,0.098550725,0.260869565,0
9.15094E-3,44.430133065,0.495768742,0.095652174,0.275362319,0
9.21291E-3,44.739109289,0.497456097,0.095652174,0.289855072,0
9.375E-3,45.10017764,0.501816183,0.092753623,0.289855072,0
9.50901E-3,45.398704429,0.50536432,0.092753623,0.304347826,0
9.5968E-3,45.594279106,0.507661547,0.092753623,0.333333333,0
9.7497E-3,46.678672075,0.511611748,0.089855072,0.347826087,0
9.7654E-3,47.655211929,0.512013653,0.086956522,0.347826087,0
9.78423E-3,48.633635219,0.512495071,0.084057971,0.347826087,0
9.96995E-3,49.098873798,0.51719178,0.08115942,0.347826087,0
1.00678E-2,49.34399872,0.519630164,0.08115942,0.362318841,0
1.01911E-2,49.652740233,0.52266655,0.08115942,0.376811594,0
1.02385E-2,49.950376475,0.52382529,0.07826087,0.376811594,0
1.03048E-2,50.366295644,0.52543513,0.07826087,0.391304348,0
1.03561E-2,50.688354447,0.52667422,0.07826087,0.405797101,0
1.03696E-2,50.787763126,0.526999095,0.075362319,0.420289855,0
1.04213E-2,51.168174572,0.528238201,0.075362319,0.434782609,0
1.04988E-2,51.738232122,0.530082931,0.075362319,0.449275362,0
1.05541E-2,52.79364218,0.531391893,0.072463768,0.449275362,0
1.07753E-2,53.142927934,0.536552519,0.069565217,0.47826087,0
1.08527E-2,53.265172232,0.538331905,0.069565217,0.492753623,0
1.10056E-2,53.506673113,0.54180733,0.069565217,0.507246377,0
1.12675E-2,53.920396052,0.547641136,0.069565217,0.52173913,0
1.14739E-2,54.57555089,0.552134091,0.066666667,0.52173913,0
1.16341E-2,55.083802505,0.5555586,0.066666667,0.536231884,0
1.16627E-2,56.250073005,0.556165615,0.063768116,0.536231884,0
1.19662E-2,56.668004391,0.562496584,0.060869565,0.565217391,0
1.22096E-2,57.003347045,0.567447346,0.060869565,0.579710145,0
1.25758E-2,57.507652682,0.574685139,0.060869565,0.594202899,0
1.27899E-2,58.786646882,0.578806912,0.057971014,0.608695652,0
1.29301E-2,60.079654156,0.581461117,0.055072464,0.608695652,0
1.32045E-2,61.40010346,0.586563171,0.052173913,0.608695652,0
1.32978E-2,61.888746244,0.588269731,0.049275362,0.623188406,0
1.34615E-2,62.746257846,0.591230735,0.049275362,0.637681159,0
1.35347E-2,64.099723559,0.592539147,0.046376812,0.637681159,0
1.40728E-2,65.507001934,0.601917516,0.043478261,0.637681159,0
1.4154E-2,66.922402747,0.60329571,0.04057971,0.637681159,0
1.42417E-2,67.209554178,0.604773347,0.037681159,0.637681159,0
1.44583E-2,67.918518829,0.60837486,0.037681159,0.652173913,0
1.46E-2,68.382401225,0.610696051,0.037681159,0.666666667,0
1.46806E-2,68.522283812,0.612003573,0.034782609,0.666666667,0
1.48944E-2,68.89357349,0.615431904,0.034782609,0.68115942,0
1.52027E-2,69.428786762,0.620268564,0.034782609,0.695652174,0
1.52888E-2,69.578379665,0.62159874,0.034782609,0.710144928,0
1.54923E-2,69.931627432,0.624703127,0.034782609,0.724637681,0
1.55731E-2,70.504271758,0.625923091,0.031884058,0.724637681,0
1.56282E-2,70.894213725,0.626749296,0.031884058,0.739130435,0
1.57142E-2,71.50304759,0.628032014,0.031884058,0.753623188,0
1.59465E-2,72.165670174,0.631453985,0.028985507,0.768115942,0
1.62852E-2,73.13156584,0.636330856,0.028985507,0.782608696,0
1.63721E-2,73.326506655,0.637561646,0.026086957,0.826086957,0
1.68624E-2,74.426293272,0.644352168,0.026086957,0.84057971,0
1.69666E-2,74.660020404,0.645762639,0.026086957,0.855072464,0
1.70451E-2,74.836073948,0.646817703,0.026086957,0.869565217,0
1.76766E-2,75.587987405,0.655084006,0.023188406,0.869565217,0
1.78214E-2,75.760294966,0.656924096,0.023188406,0.884057971,0
1.8608E-2,76.696878105,0.666592248,0.023188406,0.898550725,0
1.88922E-2,78.586096319,0.669951715,0.020289855,0.898550725,0
1.97634E-2,79.290930879,0.679843151,0.017391304,0.898550725,0
2.08217E-2,80.147120723,0.691089147,0.017391304,0.927536232,0
2.15568E-2,80.741774451,0.698446036,0.017391304,0.942028986,0
2.20552E-2,81.466550785,0.703238698,0.014492754,0.942028986,0
2.31488E-2,83.056653228,0.713237661,0.014492754,0.956521739,0
2.38459E-2,84.074278814,0.719267392,0.011594203,0.956521739,0
2.40024E-2,84.302707989,0.720586218,0.011594203,0.985507246,0
2.48512E-2,85.541770594,0.727529356,0.011594203,1,0
3.66535E-2,89.207116066,0.797497453,0.008695652,1,0
4.32777E-2,93.534883556,0.823007128,0.005797101,1,0
6.46512E-2,100,0.874156968,0.002898551,1,0
